Date,Open,High,Low,Close,Volume,SMA_20,RSI,MACD,MACD_Signal,MACD_Histogram,Target,Model_Prediction
2025-05-05,202.2187,203.2143,197.3499,198.0269,69018500,199.3198,43.38,-1.2909,-2.6161,1.3252,0,0
2025-05-06,197.3499,199.7793,196.165,197.6485,51216500,200.1686,43.1144,-1.7537,-2.4436,0.69,0,0
2025-05-07,198.3057,198.5745,192.4114,195.3984,68536700,201.3549,41.4875,-2.2758,-2.4101,0.1343,1,1
2025-05-08,196.862,199.1819,193.8352,196.633,50478900,201.2872,42.7637,-2.5604,-2.4401,-0.1203,1,1
2025-05-09,198.1364,199.6698,196.6828,197.6685,36453900,201.6909,43.8694,-2.6716,-2.4864,-0.1852,1,1
2025-05-12,210.33,210.6291,206.1228,210.1505,63775800,202.334,55.1235,-1.7326,-2.3357,0.6031,1,1
2025-05-13,209.7916,212.7526,208.3659,212.284,51909300,202.8661,56.7208,-0.807,-2.0299,1.223,0,0
2025-05-14,211.7855,213.2909,209.9411,211.6858,49325800,203.3873,56.1177,-0.1203,-1.648,1.5277,0,0
2025-05-15,210.31,212.3139,208.9043,210.8085,45029500,204.2563,55.1908,0.3491,-1.2486,1.5977,0,0
2025-05-16,211.7157,211.9251,209.1336,210.6191,54737900,204.981,54.9797,0.6978,-0.8593,1.5571,0,0
2025-05-19,207.2792,208.8445,203.6403,208.1466,46140500,205.7723,52.1739,0.7658,-0.5343,1.3001,0,0
2025-05-20,207.04,207.8375,204.408,206.2324,42496600,206.1402,50.0445,0.6576,-0.2959,0.9535,0,0
2025-05-21,204.5476,206.4119,200.1011,201.4769,59211800,206.0285,45.118,0.186,-0.1995,0.3855,0,0
2025-05-22,200.1011,202.1349,199.0941,200.7491,46742400,205.6926,44.3977,-0.2436,-0.2084,-0.0353,0,0
2025-05-23,193.0824,197.1002,192.8731,194.6776,78432900,205.0079,38.8282,-1.0618,-0.379,-0.6828,1,1
